date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:28	56874/56874	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2006:22:27%20GMT	https://tema4.dokuzyazilim.com/	C:/Users/abdul/Desktop/HTTRACK/site5/site/tema4.dokuzyazilim.com/index.html	(from )
09:22:28	0/0	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Nov%202023%2006:22:27%20GMT	https://tema4.dokuzyazilim.com/robots.txt		(from )
09:22:28	1520/1520	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2012%20Feb%202022%2010:33:07%20GMT	https://tema4.dokuzyazilim.com/u/tema4/favicon.ico?v=2795	C:/Users/abdul/Desktop/HTTRACK/site5/site/tema4.dokuzyazilim.com/u/tema4/favicon4c21.ico	(from https://tema4.dokuzyazilim.com/)
09:22:29	160403/160403	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	C:/Users/abdul/Desktop/HTTRACK/site5/site/stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	(from https://tema4.dokuzyazilim.com/)
09:22:29	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-17bde817800%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/Users/abdul/Desktop/HTTRACK/site5/site/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://tema4.dokuzyazilim.com/)
09:22:29	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/abdul/Desktop/HTTRACK/site5/site/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://tema4.dokuzyazilim.com/)
09:22:30	4895/4895	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202013%2022:12:28%20GMT	https://tema4.dokuzyazilim.com/js/fancybox/jquery.fancybox.css?v=2795	C:/Users/abdul/Desktop/HTTRACK/site5/site/tema4.dokuzyazilim.com/js/fancybox/jquery.fancybox4c21.css	(from https://tema4.dokuzyazilim.com/)
09:22:30	75178/75178	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2009:34:50%20GMT	https://tema4.dokuzyazilim.com/templates/default-neo/css/main.css?v=2795	C:/Users/abdul/Desktop/HTTRACK/site5/site/tema4.dokuzyazilim.com/templates/default-neo/css/main4c21.css	(from https://tema4.dokuzyazilim.com/)
09:22:30	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Sep%202020%2006:43:25%20GMT	https://tema4.dokuzyazilim.com/templates/default-neo/css/color.default.css?v=2795	C:/Users/abdul/Desktop/HTTRACK/site5/site/tema4.dokuzyazilim.com/templates/default-neo/css/color.default4c21.css	(from https://tema4.dokuzyazilim.com/)
09:22:30	7369/7369	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2009:34:56%20GMT	https://tema4.dokuzyazilim.com/templates/neo-berry/css/main.css?v=2795	C:/Users/abdul/Desktop/HTTRACK/site5/site/tema4.dokuzyazilim.com/templates/neo-berry/css/main4c21.css	(from https://tema4.dokuzyazilim.com/)
